transaction_id,account_id,amount,currency,transaction_type,counterparty_id,counterparty_name,description,transaction_time,country_code,ip_address,device_id,risk_score
ACC0-1772845471071-1,ACC0,4194.51,USD,DEBIT,MERCH0,Amazon,Transaction 0,2026-03-06T22:40:24.076379300Z,US,192.168.0.0,DEV0,18
ACC1-1772845471076-2,ACC1,3118.77,EUR,CREDIT,MERCH1,Walmart,Transaction 1,2026-02-10T23:50:42.076379300Z,CN,192.168.1.1,DEV1,81
ACC2-1772845471076-3,ACC2,2811.47,GBP,TRANSFER,MERCH2,Shell,Transaction 2,2026-02-22T14:50:51.076379300Z,GB,192.168.2.2,DEV2,12
ACC3-1772845471076-4,ACC3,6608.55,JPY,PAYMENT,MERCH3,Uber,Transaction 3,2026-02-10T19:16:50.076379300Z,DE,192.168.3.3,DEV3,80
ACC4-1772845471076-5,ACC4,8417.76,CNY,REFUND,MERCH4,Netflix,Transaction 4,2026-02-26T23:38:47.076379300Z,JP,192.168.4.4,DEV4,23
ACC5-1772845471076-6,ACC5,4646.64,USD,DEBIT,MERCH5,Unknown,Transaction 5,2026-02-28T11:04:52.076379300Z,FR,192.168.5.5,DEV5,60
ACC6-1772845471076-7,ACC6,5312.47,EUR,CREDIT,MERCH6,Amazon,Transaction 6,2026-03-04T02:12:17.076379300Z,AU,192.168.6.6,DEV6,85
ACC7-1772845471078-8,ACC7,5094.04,GBP,TRANSFER,MERCH7,Walmart,Transaction 7,2026-02-27T01:18:59.078124400Z,US,192.168.7.7,DEV7,17
ACC8-1772845471078-9,ACC8,4276.69,JPY,PAYMENT,MERCH8,Shell,Transaction 8,2026-02-16T03:18:18.078124400Z,CN,192.168.8.8,DEV8,68
ACC9-1772845471078-10,ACC9,1085.08,CNY,REFUND,MERCH9,Uber,Transaction 9,2026-03-02T22:28:13.078124400Z,GB,192.168.9.9,DEV9,48
ACC1-1772845471078-11,ACC10,526.84,USD,DEBIT,MERCH10,Netflix,Transaction 10,2026-03-06T18:12:34.078124400Z,DE,192.168.10.10,DEV10,12
ACC1-1772845471078-12,ACC11,9097.98,EUR,CREDIT,MERCH11,Unknown,Transaction 11,2026-03-04T20:58:50.078124400Z,JP,192.168.11.11,DEV11,65
ACC1-1772845471078-13,ACC12,3320.23,GBP,TRANSFER,MERCH12,Amazon,Transaction 12,2026-02-14T00:54:54.078124400Z,FR,192.168.12.12,DEV12,64
ACC1-1772845471078-14,ACC13,2885.37,JPY,PAYMENT,MERCH13,Walmart,Transaction 13,2026-02-13T12:11:26.078124400Z,AU,192.168.13.13,DEV13,65
ACC1-1772845471078-15,ACC14,3185.42,CNY,REFUND,MERCH14,Shell,Transaction 14,2026-02-27T17:52:15.078124400Z,US,192.168.14.14,DEV14,22
ACC1-1772845471078-16,ACC15,9147.21,USD,DEBIT,MERCH15,Uber,Transaction 15,2026-02-06T14:47:57.078124400Z,CN,192.168.15.15,DEV15,22
ACC1-1772845471078-17,ACC16,1766.15,EUR,CREDIT,MERCH16,Netflix,Transaction 16,2026-02-09T04:03:39.078124400Z,GB,192.168.16.16,DEV16,41
ACC1-1772845471078-18,ACC17,6856.59,GBP,TRANSFER,MERCH17,Unknown,Transaction 17,2026-02-13T07:43:41.078124400Z,DE,192.168.17.17,DEV17,72
ACC1-1772845471078-19,ACC18,3090.09,JPY,PAYMENT,MERCH18,Amazon,Transaction 18,2026-02-15T16:25:54.078124400Z,JP,192.168.18.18,DEV18,74
ACC1-1772845471078-20,ACC19,3280.11,CNY,REFUND,MERCH19,Walmart,Transaction 19,2026-02-28T12:37:07.078124400Z,FR,192.168.19.19,DEV19,78
ACC2-1772845471078-21,ACC20,1916.01,USD,DEBIT,MERCH20,Shell,Transaction 20,2026-02-21T17:30:20.079134500Z,AU,192.168.20.20,DEV0,85
ACC2-1772845471079-22,ACC21,8481.44,EUR,CREDIT,MERCH21,Uber,Transaction 21,2026-02-28T01:04:54.079134500Z,US,192.168.21.21,DEV1,56
ACC2-1772845471079-23,ACC22,7105.79,GBP,TRANSFER,MERCH22,Netflix,Transaction 22,2026-02-12T08:25:24.079134500Z,CN,192.168.22.22,DEV2,59
ACC2-1772845471079-24,ACC23,9434.62,JPY,PAYMENT,MERCH23,Unknown,Transaction 23,2026-02-11T19:48:57.079134500Z,GB,192.168.23.23,DEV3,23
ACC2-1772845471079-25,ACC24,4862.49,CNY,REFUND,MERCH24,Amazon,Transaction 24,2026-02-27T08:41:44.079134500Z,DE,192.168.24.24,DEV4,29
ACC2-1772845471079-26,ACC25,752.97,USD,DEBIT,MERCH25,Walmart,Transaction 25,2026-02-28T21:24:28.079134500Z,JP,192.168.25.25,DEV5,23
ACC2-1772845471079-27,ACC26,6540.77,EUR,CREDIT,MERCH26,Shell,Transaction 26,2026-02-14T06:51:29.079134500Z,FR,192.168.26.26,DEV6,82
ACC2-1772845471079-28,ACC27,2873.34,GBP,TRANSFER,MERCH27,Uber,Transaction 27,2026-02-22T06:59:06.079134500Z,AU,192.168.27.27,DEV7,96
ACC2-1772845471079-29,ACC28,8659.61,JPY,PAYMENT,MERCH28,Netflix,Transaction 28,2026-03-05T21:37:58.079134500Z,US,192.168.28.28,DEV8,60
ACC2-1772845471079-30,ACC29,9711.56,CNY,REFUND,MERCH29,Unknown,Transaction 29,2026-02-16T00:04:14.079134500Z,CN,192.168.29.29,DEV9,65
ACC3-1772845471079-31,ACC30,3035.85,USD,DEBIT,MERCH30,Amazon,Transaction 30,2026-02-13T18:48:25.080133600Z,GB,192.168.30.30,DEV10,94
ACC3-1772845471080-32,ACC31,6173.46,EUR,CREDIT,MERCH31,Walmart,Transaction 31,2026-02-11T18:24:30.080133600Z,DE,192.168.31.31,DEV11,35
ACC3-1772845471080-33,ACC32,3636.67,GBP,TRANSFER,MERCH32,Shell,Transaction 32,2026-02-14T17:00:14.080133600Z,JP,192.168.32.32,DEV12,53
ACC3-1772845471080-34,ACC33,4292.75,JPY,PAYMENT,MERCH33,Uber,Transaction 33,2026-02-17T23:51:34.080133600Z,FR,192.168.33.33,DEV13,59
ACC3-1772845471080-35,ACC34,4062.47,CNY,REFUND,MERCH34,Netflix,Transaction 34,2026-02-20T08:01:32.080133600Z,AU,192.168.34.34,DEV14,61
ACC3-1772845471080-36,ACC35,3459.71,USD,DEBIT,MERCH35,Unknown,Transaction 35,2026-02-08T17:39:07.080133600Z,US,192.168.35.35,DEV15,12
ACC3-1772845471080-37,ACC36,7483.68,EUR,CREDIT,MERCH36,Amazon,Transaction 36,2026-02-18T19:07:50.080133600Z,CN,192.168.36.36,DEV16,66
ACC3-1772845471080-38,ACC37,1465.92,GBP,TRANSFER,MERCH37,Walmart,Transaction 37,2026-03-03T05:25:53.080133600Z,GB,192.168.37.37,DEV17,73
ACC3-1772845471080-39,ACC38,5544.96,JPY,PAYMENT,MERCH38,Shell,Transaction 38,2026-03-05T14:13:01.080133600Z,DE,192.168.38.38,DEV18,47
ACC3-1772845471080-40,ACC39,5646.43,CNY,REFUND,MERCH39,Uber,Transaction 39,2026-02-11T08:11:16.080133600Z,JP,192.168.39.39,DEV19,26
ACC4-1772845471080-41,ACC40,7120.94,USD,DEBIT,MERCH40,Netflix,Transaction 40,2026-02-11T17:28:22.080133600Z,FR,192.168.40.40,DEV0,71
ACC4-1772845471080-42,ACC41,6950.43,EUR,CREDIT,MERCH41,Unknown,Transaction 41,2026-02-07T17:50:12.081138100Z,AU,192.168.41.41,DEV1,16
ACC4-1772845471081-43,ACC42,3976.18,GBP,TRANSFER,MERCH42,Amazon,Transaction 42,2026-02-17T01:56:05.081138100Z,US,192.168.42.42,DEV2,60
ACC4-1772845471081-44,ACC43,9480.12,JPY,PAYMENT,MERCH43,Walmart,Transaction 43,2026-02-05T06:58:38.081138100Z,CN,192.168.43.43,DEV3,5
ACC4-1772845471081-45,ACC44,2187.64,CNY,REFUND,MERCH44,Shell,Transaction 44,2026-03-04T06:05:53.081138100Z,GB,192.168.44.44,DEV4,85
ACC4-1772845471081-46,ACC45,7039.76,USD,DEBIT,MERCH45,Uber,Transaction 45,2026-02-13T22:16:48.081138100Z,DE,192.168.45.45,DEV5,47
ACC4-1772845471081-47,ACC46,3686.57,EUR,CREDIT,MERCH46,Netflix,Transaction 46,2026-02-10T04:03:44.081138100Z,JP,192.168.46.46,DEV6,71
ACC4-1772845471081-48,ACC47,136.81,GBP,TRANSFER,MERCH47,Unknown,Transaction 47,2026-03-02T17:30:49.081138100Z,FR,192.168.47.47,DEV7,22
ACC4-1772845471081-49,ACC48,6244.18,JPY,PAYMENT,MERCH48,Amazon,Transaction 48,2026-02-27T20:41:10.082140200Z,AU,192.168.48.48,DEV8,63
ACC4-1772845471082-50,ACC49,8246.21,CNY,REFUND,MERCH49,Walmart,Transaction 49,2026-02-24T17:03:53.082140200Z,US,192.168.49.49,DEV9,14
ACC5-1772845471082-51,ACC50,6655.26,USD,DEBIT,MERCH0,Shell,Transaction 50,2026-02-16T09:12:58.082140200Z,CN,192.168.50.50,DEV10,63
ACC5-1772845471082-52,ACC51,5029.09,EUR,CREDIT,MERCH1,Uber,Transaction 51,2026-02-28T13:50:58.082140200Z,GB,192.168.51.51,DEV11,66
ACC5-1772845471082-53,ACC52,6480.15,GBP,TRANSFER,MERCH2,Netflix,Transaction 52,2026-02-27T17:19:47.082140200Z,DE,192.168.52.52,DEV12,79
ACC5-1772845471082-54,ACC53,8597.41,JPY,PAYMENT,MERCH3,Unknown,Transaction 53,2026-02-10T14:58:13.082140200Z,JP,192.168.53.53,DEV13,3
ACC5-1772845471082-55,ACC54,2417.86,CNY,REFUND,MERCH4,Amazon,Transaction 54,2026-02-18T19:20:59.082140200Z,FR,192.168.54.54,DEV14,78
ACC5-1772845471082-56,ACC55,5315.23,USD,DEBIT,MERCH5,Walmart,Transaction 55,2026-02-27T20:41:57.082140200Z,AU,192.168.55.55,DEV15,64
ACC5-1772845471082-57,ACC56,854.63,EUR,CREDIT,MERCH6,Shell,Transaction 56,2026-02-24T02:32:42.082140200Z,US,192.168.56.56,DEV16,98
ACC5-1772845471083-58,ACC57,7472.99,GBP,TRANSFER,MERCH7,Uber,Transaction 57,2026-02-27T04:06:12.083137600Z,CN,192.168.57.57,DEV17,51
ACC5-1772845471083-59,ACC58,4229.04,JPY,PAYMENT,MERCH8,Netflix,Transaction 58,2026-02-28T05:15:08.083137600Z,GB,192.168.58.58,DEV18,87
ACC5-1772845471083-60,ACC59,1378.56,CNY,REFUND,MERCH9,Unknown,Transaction 59,2026-03-03T08:44:33.083137600Z,DE,192.168.59.59,DEV19,5
ACC6-1772845471083-61,ACC60,3167.78,USD,DEBIT,MERCH10,Amazon,Transaction 60,2026-02-13T01:35:30.083137600Z,JP,192.168.60.60,DEV0,53
ACC6-1772845471083-62,ACC61,9863.49,EUR,CREDIT,MERCH11,Walmart,Transaction 61,2026-02-17T19:33:49.083137600Z,FR,192.168.61.61,DEV1,90
ACC6-1772845471083-63,ACC62,4679.14,GBP,TRANSFER,MERCH12,Shell,Transaction 62,2026-02-26T17:33:33.083137600Z,AU,192.168.62.62,DEV2,29
ACC6-1772845471083-64,ACC63,9257.94,JPY,PAYMENT,MERCH13,Uber,Transaction 63,2026-02-07T06:48:17.083137600Z,US,192.168.63.63,DEV3,10
ACC6-1772845471083-65,ACC64,1572.48,CNY,REFUND,MERCH14,Netflix,Transaction 64,2026-02-12T02:22:01.083137600Z,CN,192.168.64.64,DEV4,6
ACC6-1772845471083-66,ACC65,5865.49,USD,DEBIT,MERCH15,Unknown,Transaction 65,2026-02-23T10:03:49.083137600Z,GB,192.168.65.65,DEV5,11
ACC6-1772845471083-67,ACC66,9442.35,EUR,CREDIT,MERCH16,Amazon,Transaction 66,2026-02-28T21:19:04.083137600Z,DE,192.168.66.66,DEV6,46
ACC6-1772845471083-68,ACC67,6660.55,GBP,TRANSFER,MERCH17,Walmart,Transaction 67,2026-02-09T19:38:23.083137600Z,JP,192.168.67.67,DEV7,36
ACC6-1772845471083-69,ACC68,4481.96,JPY,PAYMENT,MERCH18,Shell,Transaction 68,2026-02-16T14:48:32.083137600Z,FR,192.168.68.68,DEV8,48
ACC6-1772845471083-70,ACC69,7096.05,CNY,REFUND,MERCH19,Uber,Transaction 69,2026-03-04T04:55:59.083137600Z,AU,192.168.69.69,DEV9,35
ACC7-1772845471083-71,ACC70,1750.29,USD,DEBIT,MERCH20,Netflix,Transaction 70,2026-02-13T17:03:51.083137600Z,US,192.168.70.70,DEV10,97
ACC7-1772845471083-72,ACC71,9776.29,EUR,CREDIT,MERCH21,Unknown,Transaction 71,2026-02-11T07:34:59.083137600Z,CN,192.168.71.71,DEV11,28
ACC7-1772845471083-73,ACC72,9714.26,GBP,TRANSFER,MERCH22,Amazon,Transaction 72,2026-02-28T08:55:30.083137600Z,GB,192.168.72.72,DEV12,11
ACC7-1772845471083-74,ACC73,8516.00,JPY,PAYMENT,MERCH23,Walmart,Transaction 73,2026-02-25T04:44:30.084140600Z,DE,192.168.73.73,DEV13,37
ACC7-1772845471084-75,ACC74,2538.09,CNY,REFUND,MERCH24,Shell,Transaction 74,2026-02-14T18:48:00.084140600Z,JP,192.168.74.74,DEV14,89
ACC7-1772845471084-76,ACC75,5638.29,USD,DEBIT,MERCH25,Uber,Transaction 75,2026-03-05T04:23:31.084140600Z,FR,192.168.75.75,DEV15,10
ACC7-1772845471084-77,ACC76,8036.43,EUR,CREDIT,MERCH26,Netflix,Transaction 76,2026-02-07T10:13:15.084140600Z,AU,192.168.76.76,DEV16,33
ACC7-1772845471084-78,ACC77,6896.13,GBP,TRANSFER,MERCH27,Unknown,Transaction 77,2026-02-12T17:03:59.084140600Z,US,192.168.77.77,DEV17,98
ACC7-1772845471084-79,ACC78,2001.28,JPY,PAYMENT,MERCH28,Amazon,Transaction 78,2026-03-03T07:10:08.084140600Z,CN,192.168.78.78,DEV18,14
ACC7-1772845471084-80,ACC79,9236.97,CNY,REFUND,MERCH29,Walmart,Transaction 79,2026-02-11T22:08:22.084140600Z,GB,192.168.79.79,DEV19,26
ACC8-1772845471084-81,ACC80,1031.37,USD,DEBIT,MERCH30,Shell,Transaction 80,2026-03-06T23:29:19.084140600Z,DE,192.168.80.80,DEV0,93
ACC8-1772845471084-82,ACC81,5841.51,EUR,CREDIT,MERCH31,Uber,Transaction 81,2026-02-17T17:43:49.084140600Z,JP,192.168.81.81,DEV1,11
ACC8-1772845471084-83,ACC82,7530.08,GBP,TRANSFER,MERCH32,Netflix,Transaction 82,2026-02-11T00:33:54.084140600Z,FR,192.168.82.82,DEV2,48
ACC8-1772845471084-84,ACC83,9995.58,JPY,PAYMENT,MERCH33,Unknown,Transaction 83,2026-03-02T13:04:05.084140600Z,AU,192.168.83.83,DEV3,51
ACC8-1772845471084-85,ACC84,5407.33,CNY,REFUND,MERCH34,Amazon,Transaction 84,2026-02-27T04:34:30.084140600Z,US,192.168.84.84,DEV4,68
ACC8-1772845471084-86,ACC85,1908.69,USD,DEBIT,MERCH35,Walmart,Transaction 85,2026-02-22T01:07:47.084140600Z,CN,192.168.85.85,DEV5,18
ACC8-1772845471084-87,ACC86,654.09,EUR,CREDIT,MERCH36,Shell,Transaction 86,2026-02-06T07:49:04.084140600Z,GB,192.168.86.86,DEV6,58
ACC8-1772845471084-88,ACC87,8552.84,GBP,TRANSFER,MERCH37,Uber,Transaction 87,2026-02-14T03:51:59.084140600Z,DE,192.168.87.87,DEV7,27
ACC8-1772845471085-89,ACC88,1504.83,JPY,PAYMENT,MERCH38,Netflix,Transaction 88,2026-03-02T04:55:56.085135500Z,JP,192.168.88.88,DEV8,96
ACC8-1772845471085-90,ACC89,6907.01,CNY,REFUND,MERCH39,Unknown,Transaction 89,2026-03-02T11:04:32.085135500Z,FR,192.168.89.89,DEV9,60
ACC9-1772845471085-91,ACC90,1733.33,USD,DEBIT,MERCH40,Amazon,Transaction 90,2026-02-16T19:31:39.085135500Z,AU,192.168.90.90,DEV10,45
ACC9-1772845471085-92,ACC91,2073.96,EUR,CREDIT,MERCH41,Walmart,Transaction 91,2026-03-03T19:51:57.085135500Z,US,192.168.91.91,DEV11,11
ACC9-1772845471085-93,ACC92,2828.21,GBP,TRANSFER,MERCH42,Shell,Transaction 92,2026-03-05T19:24:52.085135500Z,CN,192.168.92.92,DEV12,75
ACC9-1772845471085-94,ACC93,7969.35,JPY,PAYMENT,MERCH43,Uber,Transaction 93,2026-02-28T03:51:20.085135500Z,GB,192.168.93.93,DEV13,47
ACC9-1772845471085-95,ACC94,5673.20,CNY,REFUND,MERCH44,Netflix,Transaction 94,2026-02-16T17:02:33.085135500Z,DE,192.168.94.94,DEV14,33
ACC9-1772845471085-96,ACC95,4523.94,USD,DEBIT,MERCH45,Unknown,Transaction 95,2026-02-14T15:13:05.085135500Z,JP,192.168.95.95,DEV15,77
ACC9-1772845471085-97,ACC96,5938.54,EUR,CREDIT,MERCH46,Amazon,Transaction 96,2026-02-15T13:58:09.085135500Z,FR,192.168.96.96,DEV16,83
ACC9-1772845471085-98,ACC97,9409.44,GBP,TRANSFER,MERCH47,Walmart,Transaction 97,2026-02-24T20:02:11.085135500Z,AU,192.168.97.97,DEV17,91
ACC9-1772845471085-99,ACC98,4918.97,JPY,PAYMENT,MERCH48,Shell,Transaction 98,2026-02-11T20:29:29.085135500Z,US,192.168.98.98,DEV18,56
ACC9-1772845471085-100,ACC99,7487.56,CNY,REFUND,MERCH49,Uber,Transaction 99,2026-02-22T16:08:27.085135500Z,CN,192.168.99.99,DEV19,49
